datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement
2025-07-03T06:43:00+02:00;10273_D;70;10;0;unknown;0
2025-07-03T06:43:00+02:00;10273_G;84;9;60;freeFlow;1
2025-07-03T06:43:00+02:00;10274_D;70;9;0;unknown;0
2025-07-03T06:43:00+02:00;10274_G;47;14;100;heavy;3
2025-07-03T06:43:00+02:00;10275_D;70;15;0;unknown;0
2025-07-03T06:43:00+02:00;10275_G;77;13;75;freeFlow;2
2025-07-03T06:43:00+02:00;10277_D;70;22;0;unknown;0
2025-07-03T06:43:00+02:00;10277_G;62;25;100;freeFlow;3
2025-07-03T06:43:00+02:00;10279_D;70;14;0;unknown;0
2025-07-03T06:43:00+02:00;10279_G;78;13;100;freeFlow;3
2025-07-03T06:43:00+02:00;10281_D;70;20;0;unknown;0
2025-07-03T06:43:00+02:00;10281_G;66;21;100;freeFlow;3
2025-07-03T06:43:00+02:00;10315_D;70;8;0;unknown;0
2025-07-03T06:43:00+02:00;10315_G;47;12;75;heavy;2
2025-07-03T06:43:00+02:00;11579_D;81;3;40;freeFlow;1
2025-07-03T06:43:00+02:00;11579_G;80;3;0;unknown;0
2025-07-03T06:43:00+02:00;11652;56;25;100;heavy;3
2025-07-03T06:43:00+02:00;11654;61;2;45;freeFlow;1
2025-07-03T06:43:00+02:00;11777_D;49;2;60;freeFlow;1
2025-07-03T06:43:00+02:00;11777_G;31;2;60;heavy;1
2025-07-03T06:43:00+02:00;11781_D;70;1;60;freeFlow;1
2025-07-03T06:43:00+02:00;11781_G;30;3;0;unknown;0
2025-07-03T06:43:00+02:00;11784_D;38;1;60;freeFlow;1
2025-07-03T06:43:00+02:00;11784_G;30;2;0;unknown;0
2025-07-03T06:43:00+02:00;11785_D;46;1;38;freeFlow;1
2025-07-03T06:43:00+02:00;11785_G;30;1;0;unknown;0
2025-07-03T06:43:00+02:00;12060_D;70;10;0;unknown;0
2025-07-03T06:43:00+02:00;12060_G;81;9;75;freeFlow;2
2025-07-03T06:43:00+02:00;1242_D;31;3;100;heavy;3
2025-07-03T06:43:00+02:00;1242_G;70;2;0;unknown;0
2025-07-03T06:43:00+02:00;1285_D;72;1;75;freeFlow;2
2025-07-03T06:43:00+02:00;1285_G;70;1;0;unknown;0
2025-07-03T06:43:00+02:00;13514;56;4;50;freeFlow;1
2025-07-03T06:43:00+02:00;13515;50;3;50;heavy;1
2025-07-03T06:43:00+02:00;13516;80;1;0;unknown;0
2025-07-03T06:43:00+02:00;13549_D;53;7;60;heavy;1
2025-07-03T06:43:00+02:00;13549_G;89;4;50;freeFlow;1
2025-07-03T06:43:00+02:00;13557_D;34;11;60;heavy;1
2025-07-03T06:43:00+02:00;13557_G;57;7;50;freeFlow;1
2025-07-03T06:43:00+02:00;14364;106;19;75;freeFlow;2
2025-07-03T06:43:00+02:00;14365;104;20;75;freeFlow;2
2025-07-03T06:43:00+02:00;15029_D;103;24;55;freeFlow;1
2025-07-03T06:43:00+02:00;15029_G;58;42;55;freeFlow;1
2025-07-03T06:43:00+02:00;15062;24;6;55;heavy;1
2025-07-03T06:43:00+02:00;15063;61;2;70;freeFlow;2
2025-07-03T06:43:00+02:00;15064;95;2;55;freeFlow;1
2025-07-03T06:43:00+02:00;15065;32;6;55;heavy;1
2025-07-03T06:43:00+02:00;15066;41;3;95;heavy;3
2025-07-03T06:43:00+02:00;15067_D;80;53;0;unknown;0
2025-07-03T06:43:00+02:00;15067_G;92;46;83;freeFlow;3
2025-07-03T06:43:00+02:00;15104_D;80;49;0;unknown;0
2025-07-03T06:43:00+02:00;15104_G;88;45;54;freeFlow;1
2025-07-03T06:43:00+02:00;15111;105;3;100;freeFlow;4
2025-07-03T06:43:00+02:00;15113;27;7;60;heavy;1
2025-07-03T06:43:00+02:00;15114;28;5;60;heavy;1
2025-07-03T06:43:00+02:00;15117;23;7;57;congested;1
2025-07-03T06:43:00+02:00;15118;26;4;57;heavy;1
2025-07-03T06:43:00+02:00;15119;26;7;57;heavy;1
2025-07-03T06:43:00+02:00;15120;25;8;57;heavy;1
2025-07-03T06:43:00+02:00;15121;24;4;57;congested;1
2025-07-03T06:43:00+02:00;15122;50;3;52;heavy;1
2025-07-03T06:43:00+02:00;15124_D;29;29;59;heavy;1
2025-07-03T06:43:00+02:00;15124_G;51;16;52;heavy;1
2025-07-03T06:43:00+02:00;15549_D;50;1;0;unknown;0
2025-07-03T06:43:00+02:00;15549_G;11;3;32;congested;1
2025-07-03T06:43:00+02:00;15550;67;0;60;freeFlow;1
2025-07-03T06:43:00+02:00;15551;93;122;79;freeFlow;4
2025-07-03T06:43:00+02:00;1601768;39;10;45;freeFlow;2
2025-07-03T06:43:00+02:00;1601771;25;10;60;heavy;1
2025-07-03T06:43:00+02:00;1601787;44;2;85;freeFlow;3
2025-07-03T06:43:00+02:00;1601792;39;1;68;freeFlow;2
2025-07-03T06:43:00+02:00;1601794_D;57;2;70;freeFlow;2
2025-07-03T06:43:00+02:00;1601794_G;30;3;0;unknown;0
2025-07-03T06:43:00+02:00;1601795;48;10;70;freeFlow;2
2025-07-03T06:43:00+02:00;1601797;30;17;0;unknown;0
2025-07-03T06:43:00+02:00;1601798;107;1;27;freeFlow;1
2025-07-03T06:43:00+02:00;1601799;30;2;0;unknown;0
2025-07-03T06:43:00+02:00;1601807;55;2;67;freeFlow;2
2025-07-03T06:43:00+02:00;1601808;66;15;45;freeFlow;1
2025-07-03T06:43:00+02:00;1601810;62;15;60;freeFlow;1
2025-07-03T06:43:00+02:00;1601812;66;3;45;freeFlow;1
2025-07-03T06:43:00+02:00;1601813_D;50;25;0;unknown;0
2025-07-03T06:43:00+02:00;1601813_G;65;19;60;freeFlow;1
2025-07-03T06:43:00+02:00;1601814;66;3;60;freeFlow;1
2025-07-03T06:43:00+02:00;1601815;66;3;60;freeFlow;1
2025-07-03T06:43:00+02:00;1601819;47;1;60;freeFlow;1
2025-07-03T06:43:00+02:00;1601824;66;2;45;freeFlow;1
2025-07-03T06:43:00+02:00;1601898;81;19;57;freeFlow;1
2025-07-03T06:43:00+02:00;1601931_D;50;5;0;unknown;0
2025-07-03T06:43:00+02:00;1601931_G;50;5;0;unknown;0
2025-07-03T06:43:00+02:00;1602158_D;50;1;0;unknown;0
2025-07-03T06:43:00+02:00;1602158_G;50;1;0;unknown;0
2025-07-03T06:43:00+02:00;1602398;50;1;0;unknown;0
2025-07-03T06:43:00+02:00;1626;71;35;75;freeFlow;2
2025-07-03T06:43:00+02:00;1627;104;2;75;freeFlow;2
2025-07-03T06:43:00+02:00;1628;50;2;0;unknown;0
2025-07-03T06:43:00+02:00;1629;60;2;75;freeFlow;2
2025-07-03T06:43:00+02:00;1630;102;1;75;freeFlow;2
2025-07-03T06:43:00+02:00;1631;104;1;60;freeFlow;1
2025-07-03T06:43:00+02:00;1632;59;32;60;heavy;2
2025-07-03T06:43:00+02:00;1633;65;12;42;freeFlow;1
2025-07-03T06:43:00+02:00;1639;47;6;60;heavy;1
2025-07-03T06:43:00+02:00;16647_D;70;65;60;freeFlow;1
2025-07-03T06:43:00+02:00;16647_G;80;57;0;unknown;0
2025-07-03T06:43:00+02:00;16648_D;82;9;60;freeFlow;1
2025-07-03T06:43:00+02:00;16648_G;80;9;0;unknown;0
2025-07-03T06:43:00+02:00;16695_D;83;34;50;freeFlow;1
2025-07-03T06:43:00+02:00;16695_G;57;50;60;freeFlow;1
2025-07-03T06:43:00+02:00;16701;26;4;48;heavy;2
2025-07-03T06:43:00+02:00;16702;27;4;32;heavy;1
2025-07-03T06:43:00+02:00;16707_D;50;1;0;unknown;0
2025-07-03T06:43:00+02:00;16707_G;58;1;32;freeFlow;1
